"rating_vehicle_number";"rating_driveability";"rating_speed";"rating_vehicle_cleanliness";"rating_comment";"create_time"
"1641";"5";"5";"5";"Veza gerai, bet tvarkykit m.ticket zemelapi - neimanoma naudotis.";"2017-04-06 18:46:27"
"2683";"4";"5";"1";"";"2017-04-06 18:15:30"
"30";"0";"1";"0";"autobuso marsrutas 30. 04.06 18.01 pagal grafika turejo buti europos aikste stoteleje. 17.56 svieslenteje jau nebebuvo atvykimo laiko, planuojamas atvykimo laikas programeleje nurodytas 18.19. atejus anksciau, autobuso nustatytu laiku nebuvo??? tai kaip planuoti kelione?";"2017-04-06 18:11:14"
"976";"5";"1";"5";"6 min. Velavimas isvaziuojant is fafijoniskio zieda.pagal krafika turejo buti 17.53, pradejo judeti nuo ziedo 17.59.";"2017-04-06 18:09:33"
"976";"1";"5";"5";"kalvariju gatvej kamstis,tai vairuotojas begejasi,o kai masinos stabdo labai staigiai stabdo. juk mato kad stoja automobilis,kodel is anksciau negali stabdyt pradet.";"2017-04-06 17:18:45"
"701";"2";"5";"2";"vairuoja agresyviai";"2017-04-06 17:16:14"
"986";"5";"5";"5";"truputi pavalyti";"2017-04-06 14:46:12"
"1555";"1";"1";"1";"Vairuotojas pedikas, nes mano rankytes slapios";"2017-04-06 13:01:03"
"1555";"1";"1";"1";"Vairuotojas pedikas";"2017-04-06 12:59:54"
"1705";"2";"5";"1";"vairuotoja rūkė vairavimo kabinoje, visas troleibusas smirdėjo rūkalais, nebuvo kuo kvėpuoti.";"2017-04-06 10:32:34"
"871";"5";"5";"2";"esant net nedideliam lietui, autobuso gale reiktu sedet su skeciu. per liuka (uzdaryta) lasa vanduo!! tikrai nekomfortabili kelione. jei lytu smarkiau, tai butu dusas..";"2017-04-06 08:35:13"
"703";"5";"5";"5";"";"2017-04-06 06:54:40"
"955";"4";"1";"3";"";"2017-04-05 22:55:35"
"965";"4";"5";"4";"";"2017-04-05 21:42:11"
"9319";"1";"4";"2";"vairuotojas duris atidarinėja nesustojęs, keleivius išleidzia ten, kur patogu JAM- prie šviesoforo, nesustoja stotelėse ( s. nėries). nesaugu ir pasibaisėtina";"2017-04-05 20:31:50"
