"purchase_day";"ticket_price";"ticket_title";"ticket_sub_title";"tickets_count";"total_amount";"currency"
"2017-04-07 00:00:00";"13,03";"30 dienų";"30 d. bilietas, galioja tik darbo d. su 50% nuolaida";"1";"13,03";"EUR"
"2017-04-07 00:00:00";"3,04";"3 dienų";"3 dienų (72 val.) bilietas su 50% nuolaida";"1";"3,04";"EUR"
"2017-04-07 00:00:00";"1,74";"1 dienos";"1 dienos (24 valandų) bilietas su 50% nuolaida";"3";"5,22";"EUR"
"2017-04-07 00:00:00";"0,46";"60 minučių";"60 minučių bilietas su 50% nuolaida";"22";"10,12";"EUR"
"2017-04-07 00:00:00";"0,32";"30 minučių";"30 minučių bilietas su 50% nuolaida";"224";"71,68";"EUR"
"2017-04-07 00:00:00";"17,38";"3 mėnesių";"3 mėnesių (90 dienų) bilietas su 80% nuolaida";"1";"17,38";"EUR"
"2017-04-07 00:00:00";"5,79";"30 dienų";"30 dienų bilietas su 80% nuolaida";"25";"144,75";"EUR"
"2017-04-07 00:00:00";"5,21";"30 dienų";"30 d. bilietas, galioja tik darbo d. su 80% nuolaida";"2";"10,42";"EUR"
"2017-04-07 00:00:00";"2,37";"10 dienų";"10 dienų (240 val.) bilietas su 80% nuolaida";"1";"2,37";"EUR"
"2017-04-07 00:00:00";"1,22";"3 dienų";"3 dienų (72 val.) bilietas su 80% nuolaida";"6";"7,32";"EUR"
"2017-04-07 00:00:00";"0,70";"1 dienos";"1 dienos (24 valandų) bilietas su 80% nuolaida";"16";"11,20";"EUR"
"2017-04-07 00:00:00";"0,19";"60 minučių";"60 minučių bilietas su 80% nuolaida";"17";"3,23";"EUR"
"2017-04-07 00:00:00";"0,13";"30 minučių";"30 minučių bilietas su 80% nuolaida";"51";"6,63";"EUR"
"2017-04-07 00:00:00";"28,96";"30 dienų";"30 dienų bilietas";"25";"724,00";"EUR"
"2017-04-07 00:00:00";"26,07";"30 dienų";"30 d. bilietas, galiojantis tik darbo d.";"11";"286,77";"EUR"
"2017-04-07 00:00:00";"11,87";"10 dienų";"10 dienų (240 val.) bilietas";"3";"35,61";"EUR"
"2017-04-07 00:00:00";"6,08";"3 dienų";"3 dienų (72 valandų) bilietas";"2";"12,16";"EUR"
"2017-04-07 00:00:00";"3,48";"1 dienos";"1 dienos (24 valandų) bilietas";"4";"13,92";"EUR"
"2017-04-07 00:00:00";"0,93";"60 minučių";"60 minučių bilietas";"149";"138,57";"EUR"
"2017-04-07 00:00:00";"0,64";"30 minučių";"30 minučių bilietas";"1958";"1253,12";"EUR"
"2017-04-06 00:00:00";"1,74";"1 dienos";"1 dienos (24 valandų) bilietas su 50% nuolaida";"4";"6,96";"EUR"
"2017-04-06 00:00:00";"0,46";"60 minučių";"60 minučių bilietas su 50% nuolaida";"44";"20,24";"EUR"
"2017-04-06 00:00:00";"0,32";"30 minučių";"30 minučių bilietas su 50% nuolaida";"363";"116,16";"EUR"
"2017-04-06 00:00:00";"5,79";"30 dienų";"30 dienų bilietas su 80% nuolaida";"49";"283,71";"EUR"
"2017-04-06 00:00:00";"5,21";"30 dienų";"30 d. bilietas, galioja tik darbo d. su 80% nuolaida";"2";"10,42";"EUR"
"2017-04-06 00:00:00";"2,37";"10 dienų";"10 dienų (240 val.) bilietas su 80% nuolaida";"7";"16,59";"EUR"
